FOG	HOG	Protein ID	sce Locus	Features	Protein description	Parent	Neofunc, Subfunct	References	Source	Suggested Analysis	SGD Description	PomBase Description	AspGD Description
FOG07046	HOG03169								added via ODB8			mitochondrial 3'-tRNA processing endonuclease tRNAse Z, Trz2	
FOG07048	HOG03171								|added via ODB8		Putative protein of unknown function		
FOG07049	HOG03172								|added via ODB8			SMN family protein Smn1	Protein of unknown function
FOG07050	HOG03173	YFT2	YFT2								Protein required for normal ER membrane biosynthesis; member of the highly conserved FIT family of proteins involved in triglyceride droplet biosynthesis and homologous to human FIT2; interacts with Sst2p and Hsp82p in high-throughput two-hybrid screens		
FOG07052	HOG03175												Ortholog(s) have extracellular region localization|Ortholog of A. nidulans FGSC A4 : AN8471, AN7227, Aspergillus wentii : Aspwe1_0113279, Aspergillus versicolor : Aspve1_0088776, Aspve1_0123469 and Aspergillus niger ATCC 1015 : 179041-mRNA|Ortholog(s) have extracellular region localization
FOG07053	HOG03175								added via ODB8				Protein of unknown function
FOG07055	HOG03177	ATG7	ATG7								Autophagy-related protein and dual specificity member of the E1 family; mediates the attachment of Atg12p to Atg5p and Atg8p to phosphatidylethanolamine which are required steps in autophagosome formation; E1 enzymes are also known as ubiquitin-activating enzymes; involved in methionine restriction extension of chronological lifespan in an autophagy-dependent manner	E1 Atg8 and Atg12 E1 activating enzyme Atg7 (predicted)	Protein of unknown function
FOG07056	HOG03177								added via ODB8				Ubiquitine activating enzyme; predicted role in autophagy
FOG07057	HOG03179	MEI5	MEI5						|added via ODB8		Meiosis-specific protein involved in meiotic recombination; involved in DMC1-dependent meiotic recombination; forms heterodimer with Sae3p; proposed to be an assembly factor for Dmc1p		
FOG07058	HOG03180	TIF35	TIF35								eIF3g subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; is essential for translation; stimulates resumption of ribosomal scanning during translation reinitiation	translation initiation factor eIF3g	Ortholog(s) have cytosol, eukaryotic 43S preinitiation complex, eukaryotic translation initiation factor 3 complex, eIF3e, eukaryotic translation initiation factor 3 complex, eIF3m, nucleus localization
FOG07060	HOG03181												Gentisate 1,2-dioxygenase
FOG07061	HOG03181								added via ODB8				Gentisate 1,2-dioxygenase
FOG07062	HOG03182	SGF29	SGF29								Component of the HAT/Core module of the SAGA, SLIK, and ADA complexes; HAT/Core module also contains Gcn5p, Ngg1p, and Ada2p; binds methylated histone H3K4; involved in transcriptional regulation through SAGA and TBP recruitment to target promoters and H3 acetylation	SAGA complex subunit Sgf29	Ortholog(s) have SAGA complex localization
FOG07063	HOG03183	MMR1	MMR1						|added via ODB8		Phosphorylated protein of the mitochondrial outer membrane; localizes only to mitochondria of the bud; interacts with Myo2p to mediate mitochondrial distribution to buds; mRNA is targeted to the bud via the transport system involving She2p		
FOG07064	HOG03184		SOK2;PHD1								Nuclear protein that negatively regulates pseudohyphal differentiation; plays a regulatory role in the cyclic AMP (cAMP)-dependent protein kinase (PKA) signal transduction pathway; relocalizes to the cytosol in response to hypoxia; SOK2 has a paralog, PHD1, that arose from the whole genome duplication|Transcriptional activator that enhances pseudohyphal growth; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; regulates expression of FLO11, an adhesin required for pseudohyphal filament formation; similar to StuA, an A. nidulans developmental regulator; potential Cdc28p substrate; PHD1 has a paralog, SOK2, that arose from the whole genome duplication		Putative transcription factor similar to A. nidulans stuA; predicted role in conidiophore development; expressed in germinating conidia
FOG07066	HOG03185											mitochondrial tRNA(Ile)-lysidine synthetase family (predicted)	Ortholog(s) have mitochondrion localization
FOG07068	HOG03187												Ortholog of A. nidulans FGSC A4 : AN8351, AN1611, A. fumigatus Af293 : Afu4g09220, A. oryzae RIB40 : AO090023000614 and Aspergillus wentii : Aspwe1_0101354|Protein of unknown function
FOG07069	HOG03187												Has domain(s) with predicted N,N-dimethylaniline monooxygenase activity, NADP binding, flavin adenine dinucleotide binding activity and role in oxidation-reduction process
FOG07070	HOG03188												Ortholog of A. nidulans FGSC A4 : AN0356, A. fumigatus Af293 : Afu1g02080, A. oryzae RIB40 : AO090005000887, Aspergillus wentii : Aspwe1_0098094 and Aspergillus sydowii : Aspsy1_0085975
FOG07072	HOG03189	EAF5	EAF5						|added via ODB8		Non-essential subunit of the NuA4 acetyltransferase complex; Esa1p-associated factor; relocalizes to the cytosol in response to hypoxia		
FOG07073	HOG03190												Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization|Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization|Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization|Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization|Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization|Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization|Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization|Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization|Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization
FOG07075	HOG03191								|added via ODB8			mediator of replication checkpoint 1	Ortholog(s) have Y-form DNA binding activity, role in intra-S DNA damage checkpoint, mitotic DNA replication checkpoint and nuclear chromatin localization
FOG07076	HOG03192	PFD1	PFD1								Subunit of heterohexameric prefoldin; prefoldin binds cytosolic chaperonin and transfers target proteins to it; involved in the biogenesis of actin and of alpha- and gamma-tubulin; prefoldin complex also localizes to chromatin of actively transcribed genes in the nucleus and facilitates transcriptional elongation		
FOG07077	HOG03193								|added via ODB8		Hydrophilin essential in desiccation-rehydration process; cell wall protein; contains a putative GPI-attachment site		
FOG07078	HOG03194								|added via ODB8			non-specific DNA binding protein Spt2 (predicted)	
FOG07079	HOG03195	SWM1	SWM1						|added via ODB8		Subunit of the anaphase-promoting complex (APC); APC is an E3 ubiquitin ligase that regulates the metaphase-anaphase transition and exit from mitosis; required for activation of the daughter-specific gene expression and spore wall maturation		
FOG07080	HOG03196												Ortholog of A. nidulans FGSC A4 : AN7635/binA, AN11904, A. fumigatus Af293 : Afu3g02216, Afu7g00610, Afu2g00967 and A. oryzae RIB40 : AO090009000537, AO090010000166, AO090103000490, AO090701000353
FOG07081	HOG03196								added via ODB8				Protein of unknown function|Ortholog of Aspergillus terreus NIH2624 : ATET_06325|Protein of unknown function
FOG07082	HOG03197		ERP3;ERP4								Protein with similarity to Emp24p and Erv25p; member of the p24 family involved in ER to Golgi transport|Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; ERP4 has a paralog, ERP2, that arose from the whole genome duplication	COPII-coated vesicle component Erp2/3/4 (predicted)	p24 family protein; expression enhanced by maltose
FOG07083	HOG03197	ERP2	ERP2						added via ODB8		Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication		
FOG07084	HOG03198	YRA2	YRA2						|added via ODB8		Member of the REF (RNA and export factor binding proteins) family; when overexpressed, can substitute for the function of Yra1p in export of poly(A)+ mRNA from the nucleus		
FOG07085	HOG03199								|added via ODB8				Ortholog of Aspergillus versicolor : Aspve1_0088297, Aspergillus niger ATCC 1015 : 43905-mRNA, Aspergillus sydowii : Aspsy1_0093188 and Aspergillus carbonarius ITEM 5010 : Acar5010_010385, Acar5010_128496|Ortholog of A. nidulans FGSC A4 : AN8376, AN7265, AN8625 and A. fumigatus Af293 : Afu6g00680, Afu8g06420
FOG07086	HOG03200												Ortholog(s) have intracellular localization
FOG07087	HOG03200												Ortholog(s) have intracellular localization
FOG07088	HOG03201											human ZC3H3 homolog	Ortholog(s) have role in nuclear-transcribed mRNA catabolic process, meiosis-specific transcripts and NURS complex, nuclear body, nuclear chromatin localization
FOG07089	HOG03202	RRT6	RRT6						|added via ODB8		Putative protein of unknown function; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription; contains two putative transmembrane spans, but no significant homology to other known proteins		
FOG07090	HOG03203	HFD1	HFD1								Hexadecenal dehydrogenase; involved in the conversion of sphingosine 1-phosphate breakdown product hexadecenal to hexadecenoic acid; located in the mitochondrial outer membrane and also in lipid particles; similar to ALDH3A2, a human fatty aldehyde dehydrogenase (FALDH) mutated in Sjogren-Larsson syndrome, a neurocutaneous disorder		Ortholog(s) have carboxylate reductase activity, role in aldehyde catabolic process, carotenoid biosynthetic process and endosome, integral component of mitochondrial outer membrane, lipid particle localization
FOG07091	HOG03203								added via ODB8				Has domain(s) with predicted aldehyde dehydrogenase [NAD(P)+] activity, oxidoreductase activity, oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor activity
FOG07092	HOG03204								|added via ODB8				Ortholog of A. nidulans FGSC A4 : AN5612, A. fumigatus Af293 : Afu4g11230, A. oryzae RIB40 : AO090003001098, Aspergillus wentii : Aspwe1_0022777 and Aspergillus sydowii : Aspsy1_0148394
FOG07094	HOG03206	RRT14	RRT14						|added via ODB8		Putative protein of unknown function; identified in a screen for mutants with decreased levels of rDNA transcription; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus; predicted to be involved in ribosome biogenesis		
FOG07095	HOG03207	PBP1	PBP1								Component of glucose deprivation induced stress granules; involved in P-body-dependent granule assembly; similar to human ataxin-2; interacts with Pab1p to regulate mRNA polyadenylation; interacts with Mkt1p to regulate HO translation; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress	ataxin-2 homolog	Ortholog of A. nidulans FGSC A4 : AN1325, A. fumigatus Af293 : Afu1g09630, A. oryzae RIB40 : AO090012000905, Aspergillus wentii : Aspwe1_0036403 and Aspergillus sydowii : Aspsy1_0053047
FOG07096	HOG03208	LHP1	LHP1								RNA binding protein required for maturation of tRNA and U6 snRNA; acts as a molecular chaperone for RNAs transcribed by polymerase III; homologous to human La (SS-B) autoantigen	La protein homolog	Ortholog(s) have role in tRNA 3'-trailer cleavage, endonucleolytic and nucleus localization
FOG07098	HOG03209												Has domain(s) with predicted catalytic activity, pyridoxal phosphate binding activity and role in biosynthetic process|Has domain(s) with predicted catalytic activity, pyridoxal phosphate binding activity and role in biosynthetic process
FOG07099	HOG03209								added via ODB8				Has domain(s) with predicted catalytic activity, pyridoxal phosphate binding activity and role in biosynthetic process|Has domain(s) with predicted catalytic activity, pyridoxal phosphate binding activity and role in biosynthetic process|Has domain(s) with predicted catalytic activity, pyridoxal phosphate binding activity and role in biosynthetic process
FOG07102	HOG03211	BDP1	BDP1								Essential subunit of RNA polymerase III transcription factor (TFIIIB); TFIIIB is involved in transcription of genes encoding tRNAs, 5S rRNA, U6 snRNA, and other small RNAs	transcription factor TFIIIB complex subunit Bdp1 (predicted)	Has domain(s) with predicted chromatin binding activity
FOG07105	HOG03214								|added via ODB8			conserved fungal protein associated with stress granule|mRNA decapping scaffolding protein	Ortholog of A. nidulans FGSC A4 : AN5154, A. fumigatus Af293 : Afu1g07090, A. oryzae RIB40 : AO090012000961, Aspergillus wentii : Aspwe1_0155743 and Aspergillus sydowii : Aspsy1_0134266
FOG07106	HOG03215	POR1	POR1								Mitochondrial porin (voltage-dependent anion channel); outer membrane protein required for maintenance of mitochondrial osmotic stability and mitochondrial membrane permeability; couples the glutathione pools of the intermembrane space (IMS) and the cytosol; interacts with Om45 and Om14 in the outer membrane; phosphorylated; protein abundance increases in response to DNA replication stress	mitochondrial outer membrane voltage-dependent anion-selective channel (predicted)	
FOG07107	HOG03215	POR2	POR2						added via ODB8		Putative mitochondrial porin (voltage-dependent anion channel); not required for mitochondrial membrane permeability or mitochondrial osmotic stability; POR2 has a paralog, POR1, that arose from the whole genome duplication		
FOG07108	HOG03216								|added via ODB8			SWI/SNF and RSC complex subunit Ssr4	Ortholog of A. nidulans FGSC A4 : AN3930, A. fumigatus Af293 : Afu6g08330, A. oryzae RIB40 : AO090003000085, Aspergillus wentii : Aspwe1_0045965 and Aspergillus sydowii : Aspsy1_0918419
FOG07109	HOG03217												Prolyl amino peptidase involved in protein degradation; removes N-terminal proline and hydroxyproline residues from peptides
FOG07110	HOG03217								added via ODB8				Ortholog of Aspergillus carbonarius ITEM 5010 : Acar5010_050335
FOG07113	HOG03220								|added via ODB8				Ortholog of A. nidulans FGSC A4 : AN3828, A. fumigatus Af293 : Afu4g08180, A. oryzae RIB40 : AO090023000753, Aspergillus wentii : Aspwe1_0034490 and Aspergillus sydowii : Aspsy1_0057397
FOG07114	HOG03221	ZPS1	ZPS1						|added via ODB8		Putative GPI-anchored protein; transcription is induced under low-zinc conditions, as mediated by the Zap1p transcription factor, and at alkaline pH		
FOG07115	HOG03222											NMS complex subunit Spc25	Ortholog(s) have NMS complex, Ndc80 complex, condensed nuclear chromosome kinetochore, mitotic spindle pole body localization
FOG07116	HOG03223	DSE1	DSE1								Daughter cell-specific protein; may regulate cross-talk between the mating and filamentation pathways; deletion affects cell separation after division and sensitivity to alpha-factor and drugs affecting the cell wall; relocalizes from bud neck to cytoplasm upon DNA replication stress		
FOG07117	HOG03224												Ortholog of A. nidulans FGSC A4 : AN0751, A. fumigatus Af293 : Afu1g14080, A. oryzae RIB40 : AO090012000449, Aspergillus wentii : Aspwe1_0490157 and Aspergillus sydowii : Aspsy1_0142944
FOG07120	HOG03226	RIM4	RIM4								Putative RNA-binding protein; required for the expression of early and middle sporulation genes	RNA-binding protein Msa1	
FOG07121	HOG03227								|added via ODB8		Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YPL067C is not an essential gene		Ortholog(s) have role in N-acetylglucosamine metabolic process and cytoplasm localization|Ortholog(s) have cytoplasm localization
FOG07122	HOG03228	DDI1	DDI1						|added via ODB8		DNA damage-inducible v-SNARE binding protein; role in suppression of protein secretion; may play a role in S-phase checkpoint control; has ubiquitin-associated (UBA), ubiquitin-like (UBL), and retroviral-like proteinase (RVP) domains	UBA domain protein Mud1	Ortholog(s) have polyubiquitin binding activity
FOG07123	HOG03229								|added via ODB8				Ortholog(s) have role in cellular response to calcium ion and RAVE complex, cytosol, nucleus localization
FOG07124	HOG03230												Has domain(s) with predicted ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups activity and role in protein phosphorylation|Has domain(s) with predicted ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups activity and role in protein phosphorylation|Has domain(s) with predicted ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups activity and role in protein phosphorylation|Has domain(s) with predicted ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups activity and role in protein phosphorylation|Has domain(s) with predicted ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups activity and role in protein phosphorylation|Has domain(s) with predicted ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups activity and role in protein phosphorylation|Has domain(s) with predicted ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups activity and role in protein phosphorylation|Has domain(s) with predicted ATP binding, protein kinase activity and role in protein phosphorylation|Has domain(s) with predicted ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups activity and role in protein phosphorylation|Has domain(s) with predicted ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups activity and role in protein phosphorylation|Has domain(s) with predicted ATP binding, protein kinase activity, protein serine/threonine kinase activity, transferase activity, transferring phosphorus-containing groups activity and role in protein phosphorylation|Has domain(s) with predicted ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups activity and role in protein phosphorylation|Has domain(s) with predicted ATP binding, protein kinase activity and role in protein phosphorylation|Has domain(s) with predicted ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups activity and role in protein phosphorylation|Has domain(s) with predicted ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups activity and role in protein phosphorylation|Has domain(s) with predicted ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups activity and role in protein phosphorylation|Has domain(s) with predicted ATP binding, protein kinase activity, transferase activity, transferring phosphorus-containing groups activity and role in protein phosphorylation
FOG07125	HOG03231								|added via ODB8				Ortholog(s) have nuclear periphery localization
FOG07126	HOG03232												Has domain(s) with predicted oxidoreductase activity and role in oxidation-reduction process
FOG07127	HOG03232								added via ODB8				Has domain(s) with predicted oxidoreductase activity and role in oxidation-reduction process
FOG07128	HOG03233	DOM34	DOM34								Protein that facilitates ribosomal subunit dissociation; Dom34-Hbs1 complex and Rli1p have roles in dissociating inactive ribosomes to facilitate translation restart, particularly ribosomes stalled in 3' UTRs; required for RNA cleavage in no-go decay, but reports conflict on endonuclease activity; Pelota ortholog; protein abundance increases in response to DNA replication stress; DOM34 has a paralog, YCL001W-B, that arose from the whole genome duplication	peloto ortholog (predicted)	Ortholog(s) have role in negative regulation of G0 to G1 transition and cytosol, nucleus localization
FOG07129	HOG03233		;						added via ODB8		Putative protein of unknown function; YCL001W-A gene has similarity to DOM34 and is present in a region duplicated between chromosomes XIV and III|Putative protein of unknown function; present in a region duplicated between chromosomes XIV and III; YCL001W-B has a paralog, DOM34, that arose from the whole genome duplication		
FOG07131	HOG03235	UBR2	UBR2								Cytoplasmic ubiquitin-protein ligase (E3); required for ubiquitylation of Rpn4p; mediates formation of a Mub1p-Ubr2p-Rad6p complex	N-end-recognizing protein, UBR ubiquitin-protein ligase E3 Ubr1|UBR ubiquitin-protein ligase E3 Ubr11	Ortholog(s) have ubiquitin protein ligase activity
FOG07132	HOG03235	UBR1	UBR1								E3 ubiquitin ligase (N-recognin); heterodimerizes with Rad6p to ubiquitinate substrates in the N-end rule pathway; role in endoplasmic reticulum-associated protein degradation (ERAD) in the absence of canonical ER membrane ligases or after stress; major role in targeting misfolded cytosolic proteins for degradation; regulates peptide transport via Cup9p ubiquitination; mutation in human UBR1 causes Johansson-Blizzard Syndrome (JBS)		
FOG07133	HOG03236								|added via ODB8				Ortholog of Aspergillus wentii : Aspwe1_0254618, Aspergillus versicolor : Aspve1_0759274, Aspergillus zonatus : Aspzo1_0745802 and Aspergillus sydowii : Aspsy1_0163119
FOG07134	HOG03237												Ortholog(s) have role in regulation of cytolysis
FOG07135	HOG03238	COG1	COG1						|added via ODB8		Essential component of the conserved oligomeric Golgi complex; a cytosolic tethering complex (Cog1p through Cog8p) that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments		
FOG07137	HOG03240												Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization|Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization
FOG07138	HOG03240												Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization|Ortholog of A. nidulans FGSC A4 : AN6322, AN0007, AN0902 and A. fumigatus Af293 : Afu1g01340, Afu1g15680, Afu3g01640|Ortholog of A. nidulans FGSC A4 : AN6322, AN0007, AN0902 and A. fumigatus Af293 : Afu1g01340, Afu1g15680, Afu3g01640|Has domain(s) with predicted 4 iron, 4 sulfur cluster binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, endonuclease activity, zinc ion binding activity
FOG07139	HOG03240												Has domain(s) with predicted RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity, role in regulation of transcription, DNA-templated and nucleus localization
FOG07142	HOG03242								|added via ODB8				Protein of unknown function
FOG07143	HOG03243	MET4	MET4						|added via ODB8		Leucine-zipper transcriptional activator; responsible for regulation of sulfur amino acid pathway; requires different combinations of auxiliary factors Cbf1p, Met28p, Met31p and Met32p; feedforward loop exists in the regulation of genes controlled by Met4p and Met32p; can be ubiquitinated by ubiquitin ligase SCF-Met30p, is either degraded or maintained in an inactive state; regulates degradation of its own DNA-binding cofactors by targeting them to SCF-Met30p		
FOG07144	HOG03244		IRC18;LOH1						|added via ODB8		Protein involved in outer spore wall assembly; likely involved directly in dityrosine layer assembly; expression induced in respiratory-deficient cells and in carbon-limited chemostat cultures; similar to adjacent ORF, LOH1/YJL038C, and the double mutant irc18 loh1 exhibits reduced dityrosine fluorescence relative to the single mutants; null mutant displays increased levels of spontaneous Rad52p foci|Protein involved in outer spore wall assembly; likely involved directly in dityrosine layer assembly; proposed role in maintenance of genome integrity; induced during sporulation; repressed during vegetative growth by Sum1p and Hst1p; sequence similar to adjacent ORF, IRC18/YJL037W, and the double mutant irc18 loh1 exhibits reduced dityrosine fluorescence relative to the single mutants		
FOG07145	HOG03245	BFR1	BFR1								Component of mRNP complexes associated with polyribosomes; involved in localization of mRNAs to P bodies; implicated in secretion and nuclear segregation; multicopy suppressor of BFA (Brefeldin A) sensitivity	mRNP complex (predicted)	mRNP complex component; expression enhanced by maltose; brefeldin A resistance protein
FOG07147	HOG03246	YIH1	YIH1								Negative regulator of eIF2 kinase Gcn2p; competes with Gcn2p for binding to Gcn1p; may contribute to regulation of translation in response to starvation via regulation of Gcn2p; binds to monomeric actin and to ribosomes and polyribosomes; ortholog of mammalian IMPACT	IMPACT homolog, cytoplasmic translational regulator Yih1 (predicted)	Ortholog(s) have actin monomer binding, protein kinase inhibitor activity, ribosome binding activity, role in negative regulation of protein phosphorylation and cytoplasm, nucleus, polysome, ribosome localization
FOG07148	HOG03246										Putative protein of unknown function; similar to the mouse IMPACT gene; YDL177C is not an essential gene		
FOG07149	HOG03247	STE2	STE2								Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells	pheromone p-factor receptor	Ortholog(s) have mating-type P-factor pheromone receptor activity, mating-type alpha-factor pheromone receptor activity, pheromone binding activity
FOG07151	HOG03249	SLA2	SLA2								Adaptor protein that links actin to clathrin and endocytosis; involved in membrane cytoskeleton assembly and cell polarization; present in the actin cortical patch of the emerging bud tip; dimer in vivo	Huntingtin-interacting protein homolog	Predicted actin-binding protein involved in endocytosis
FOG07153	HOG03250								|added via ODB8			MT organizer Mto1	Ortholog(s) have gamma-tubulin binding activity
FOG07154	HOG03251	ART2	ART2										
FOG07155	HOG03251	RRT15	RRT15						added via ODB8		Putative protein of unknown function; identified by fungal homology comparisons and RT-PCR; identified in a screen for mutants with decreased levels of rDNA transcription		
FOG07156	HOG03252	NDL1	NDL1						|added via ODB8		Homolog of nuclear distribution factor NudE; NUDEL; interacts with Pac1p and regulates dynein targeting to microtubule plus ends		
FOG07157	HOG03253												Ortholog(s) have nuclease activity and role in DNA catabolic process
FOG07161	HOG03255												Ortholog of A. nidulans FGSC A4 : AN4931, A. fumigatus Af293 : Afu3g10580, A. oryzae RIB40 : AO090003000603, Aspergillus wentii : Aspwe1_0057684 and Aspergillus sydowii : Aspsy1_0056492
FOG07164	HOG03257	SLU7	SLU7								RNA splicing factor; required for ATP-independent portion of 2nd catalytic step of spliceosomal RNA splicing; interacts with Prp18p; contains zinc knuckle domain	splicing factor Slu7	Has domain(s) with predicted nucleic acid binding, zinc ion binding activity
FOG07166	HOG03258								|added via ODB8				Protein of unknown function
FOG07167	HOG03259	MNE1	MNE1						|added via ODB8		Protein involved in splicing Group I aI5-beta intron from COX1 mRNA; mitochondrial matrix protein		
FOG07169	HOG03261												Cysteine synthase
FOG07170	HOG03261								added via ODB8				Cysteine synthase
FOG07171	HOG03262								|added via ODB8				Ortholog of A. fumigatus Af293 : Afu5g01920, A. oryzae RIB40 : AO090003001326, Aspergillus wentii : Aspwe1_0174201, Aspergillus sydowii : Aspsy1_0029040 and Aspergillus terreus NIH2624 : ATET_09813
FOG07172	HOG03263											Schizosaccharomyces pombe specific protein	
FOG07173	HOG03264	SST2	SST2								GTPase-activating protein for Gpa1p; regulates desensitization to alpha factor pheromone; also required to prevent receptor-independent signaling of the mating pathway; member of the RGS (regulator of G-protein signaling) family	regulator of G-protein signaling Rgs1	Putative regulator of G-protein signaling protein; mutant forms aerial hyphae without conidiophore stalks
FOG07174	HOG03265											conserved protein Mug70	Ortholog(s) have cytosol, nucleus localization
FOG07176	HOG03266	ECM30	ECM30								Putative protein of unknown function; may play a role in cell wall biosynthesis, mutants have abormal relative levels of mannose and glucose and have Gap1p sorting and transport defects; (GFP)-fusion protein localizes to the cytoplasm	Ubp5 interacting protein Ftp105|human HID1 ortholog 1	Ortholog(s) have role in cellular protein localization and Golgi apparatus, cytosol localization
FOG07177	HOG03266								added via ODB8			human HID1 ortholog 2	
FOG07179	HOG03267								|added via ODB8				Has domain(s) with predicted BLOC-1 complex localization
FOG07180	HOG03268								|added via ODB8		Protein of unknown function; localizes to the nucleus; required for asymmetric localization of Kar9p during mitosis		
FOG07182	HOG03270	CNE1	CNE1								Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast	calnexin Cnx1	Putative calnexin, integral membrane ER chaperone; expression enhanced by maltose; expression induced by tunicamycin and DTT
FOG07183	HOG03270								added via ODB8			calreticulin/calnexin homolog (predicted)	
FOG07185	HOG03272								|added via ODB8			Spo12 family protein	Ortholog of A. nidulans FGSC A4 : AN12336, A. fumigatus Af293 : Afu5g06490, Neosartorya fischeri NRRL 181 : NFIA_036630, Aspergillus wentii : Aspwe1_0167419 and Aspergillus clavatus NRRL 1 : ACLA_009820
FOG07186	HOG03273								|added via ODB8			mitochondrial ribosomal protein subunit L28 (predicted)	
FOG07187	HOG03274								|added via ODB8			RNA processing protein (predicted)	Has domain(s) with predicted ribonuclease activity and role in U6 snRNA 3'-end processing
FOG07188	HOG03275								|added via ODB8				Ortholog of A. nidulans FGSC A4 : AN5933, A. fumigatus Af293 : Afu2g10720, Aspergillus wentii : Aspwe1_0061884, Aspergillus sydowii : Aspsy1_0044922 and Aspergillus terreus NIH2624 : ATET_01504
FOG07189	HOG03276	MGR1	MGR1								Subunit of the mitochondrial (mt) i-AAA protease supercomplex; i-AAA degrades misfolded mitochondrial proteins; forms a subcomplex with Mgr3p that binds to substrates to facilitate proteolysis; required for growth of cells lacking mtDNA		
FOG07190	HOG03277	RNY1	RNY1								Vacuolar RNase of the T(2) family; relocalizes to the cytosol where it cleaves tRNAs upon oxidative or stationary phase stress; promotes apoptosis under stress conditions and this function is independent of its catalytic activity		Putative RNase T2|Ortholog(s) have endoribonuclease activity, role in RNA catabolic process, apoptotic process, cell morphogenesis and cytosol, extracellular region, fungal-type vacuole localization
FOG07192	HOG03278								|added via ODB8				Ortholog of A. nidulans FGSC A4 : AN3430, A. fumigatus Af293 : Afu3g05790, A. oryzae RIB40 : AO090020000047, Aspergillus wentii : Aspwe1_0029428, Aspwe1_0037899 and Aspergillus sydowii : Aspsy1_0056861
FOG07193	HOG03279	PDE1	PDE1								Low-affinity cyclic AMP phosphodiesterase; controls glucose and intracellular acidification-induced cAMP signaling, target of the cAMP-protein kinase A (PKA) pathway; glucose induces transcription and inhibits translation	cAMP-specific phosphodiesterase Cgs2	3?,5?-cyclic-nucleotide phosphodiesterase
