FOG	HOG	Parent	rgm	sai	spo	ncr	tre	ang	lst	yli	arx	nfu	aru	pta	ppa	kcp	car	opm	dbx	pme	pku	bin	mbi	mgu	dha	pic	spa	wan	cut	hva	kla	lth	zro	sce	vpo
FOG08683	HOG04470		rgm|A0A194S347	sai|UPI000618E0F4	spo|O14224	ncr|Q7RVX7	tre|G0RBJ9	ang|A2RAW5	lst|A0A1E3Q0X1	yli|Q6C9B9;yli|Q6CHM2	arx|A0A060T2P0	nfu|A0A1E3PJY0	aru|A0A1D2VCI3	pta|A0A1E4TPZ7	ppa|C4QWQ9	kcp|W6MS11	car|A0A1E4T3V4	opm|W1QI31	dbx|Dekbr2_5364	pme|A0A1E3NM64	pku|A0A099NYR7	bin|A0A1E3QLN5	mbi|A0A1A0HJT1	mgu|A5DGH8	dha|Q6BW48	pic|A3LZR4	spa|G3AQ73	wan|A0A1E3P2B8	cut|A0A1E4SA24	hva|A0A1B7TBL7	kla|Q6CL68	lth|C5E257	zro|C5DXJ8	sce|Q12434	vpo|A7TF16
FOG08684	HOG04471														ppa|C4R8M5																				
FOG08685	HOG04472													pta|A0A1E4TSX3		kcp|W6MG27	car|A0A1E4SXK2	opm|W1QF64	dbx|Dekbr2_31959	pme|A0A1E3NRA7		bin|A0A1E3QMT6			dha|Q6BRT4	pic|A3LQM8	spa|G3AST7								
FOG08686	HOG04473							ang|A2QYV1																											
FOG08687	HOG04474						tre|G0RS39																												
FOG08688	HOG04475							ang|A2QGX6																											
FOG08689	HOG04476				spo|O42862																														
FOG08690	HOG04477						tre|G0RRS6		lst|A0A1E3Q093																										
FOG08691	HOG04478							ang|A2R0W0																											
FOG08692	HOG04479						tre|G0RCR1																												
FOG08693	HOG04480						tre|G0RIK0;tre|G0RW96	ang|A2Q921;ang|A2QUZ2;ang|A2QZU3;ang|A2R355																											
FOG08694	HOG04481						tre|G0RFP4	ang|A2Q7T9																											
FOG08695	HOG04482				spo|O74808																														
FOG08696	HOG04483						tre|G0RUR0																												
FOG08697	HOG04484						tre|G0RX58																												
FOG08698	HOG04485									yli|Q6C5M7																									
FOG08699	HOG04486							ang|A2QLH0																											
FOG08700	HOG04487				spo|O94691																														
FOG08701	HOG04488			sai|UPI000866E978			tre|G0RVQ4																												
FOG08702	HOG04489							ang|A2QF86																											
FOG08703	HOG04490		rgm|A0A0P9EJL8	sai|UPI0008673A37	spo|O13833	ncr|V5IP66	tre|G0RAC3																												
FOG08704	HOG04491																										spa|G3AS58								vpo|A7TSG4
FOG08705	HOG04492					ncr|A7UW91																													
FOG08706	HOG04493					ncr|Q7SE53		ang|A2QN91	lst|A0A1E3Q191																										
FOG08707	HOG04494					ncr|F5HEB1;ncr|Q7SF27	tre|G0R9I2;tre|G0RAZ3;tre|G0RHE2;tre|G0RIU3;tre|G0RK84;tre|G0RQA8	ang|A2Q976;ang|A2QGG4;ang|A2QGY0;ang|A2QKR4;ang|A2QKW8;ang|A2QL42;ang|A2QR58;ang|A2QSX9;ang|A2QTD5;ang|A2QX64;ang|A2QX68;ang|A2R6W3;ang|A2R8D4;ang|A5AAB7																											
FOG08708	HOG04495						tre|G0RQR1																												
FOG08709	HOG04496																															lth|lth_AYbRAH_00230		sce|P47004	
FOG08710	HOG04497																							mgu|A5DCP6											
FOG08711	HOG04498																																zro|C5DVY2		
FOG08712	HOG04499									yli|Q6CBE6																									
FOG08713	HOG04500																															lth|lth_AYbRAH_00780		sce|Q3E766	
FOG08714	HOG04501					ncr|F5HCU3																													
FOG08715	HOG04502																										spa|G3AII3								
FOG08716	HOG04503		rgm|A0A194SAB4	sai|UPI00086750C6	spo|Q9P7K8	ncr|Q7S743	tre|G0RV25	ang|A2R9C7	lst|A0A1E3Q0V2	yli|B5RSL5	arx|A0A060T3M2	nfu|A0A1E3PJ58	aru|A0A1D2VNW1	pta|A0A1E4TTI0	ppa|C4R0E6	kcp|W6MY05	car|A0A1E4T5N0	opm|W1QAC6	dbx|Dekbr2_53958	pme|A0A1E3NNG9	pku|pku_AYbRAH_00208	bin|A0A1E3QS51	mbi|A0A1A0H628	mgu|A5DIE8	dha|Q6BHA5	pic|A3LNS8	spa|G3ASH1	wan|A0A1E3P125	cut|A0A1E4S8G4	hva|A0A1B7THR4	kla|P81205	lth|C5DF99	zro|C5DRD8	sce|P32914	vpo|A7TQI0
FOG08717	HOG04504							ang|A2R1J6																											
FOG08718	HOG04505									yli|Q6C7E1																									
FOG08719	HOG04506		rgm|A0A0N8PZU8	sai|UPI000867B275	spo|P78929	ncr|V5IPJ8	tre|G0R881	ang|A2R0R0;ang|A2R3G0	lst|A0A1E3QE30	yli|Q6C0Y0	arx|A0A060SZ67	nfu|A0A1E3PQZ4	aru|A0A1D2VH79	pta|A0A1E4TXG9	ppa|C4QX88	kcp|W6MFC9	car|A0A1E4T092	opm|Q96VU9	dbx|Dekbr2_19856	pme|A0A1E3NFY7		bin|A0A1E3QH04	mbi|A0A1A0HA98	mgu|mgu_AYbRAH_00055	dha|Q6BWX4	pic|A3LZF5	spa|G3ANE6	wan|A0A1E3P6I3;wan|A0A1E3P6M9	cut|A0A1E4S5H8	hva|A0A1B7TH81	kla|Q6CQ22	lth|C5E3T2	zro|C5DZV5	sce|Q03048	vpo|A7TPR2
FOG08720	HOG04507							ang|A2Q7J9																											
FOG08721	HOG04508					ncr|Q7S8E6;ncr|Q7S8G2																													
FOG08722	HOG04509						tre|G0RI66																												
FOG08723	HOG04510							ang|A2QWM5																											
FOG08724	HOG04511		rgm|A0A0P9EMS5	sai|UPI000866ECF1	spo|O42940;spo|Q9HDZ8	ncr|Q7SCF2	tre|G0RW19	ang|A2R703	lst|A0A1E3QDY1	yli|Q6CFR7	arx|A0A060TC27	nfu|A0A1E3PE25	aru|A0A1D2VN44	pta|A0A1E4TPK6	ppa|ppa_AYbRAH_00010	kcp|W6MUW7	car|A0A1E4SVR0	opm|W1Q7W6	dbx|Dekbr2_7725	pme|A0A1E3NM96	pku|A0A099P883	bin|A0A1E3QM17	mbi|A0A1A0HG83	mgu|A5DE91	dha|Q6BZC2	pic|A3LS36	spa|G3AIY6	wan|A0A1E3P316	cut|A0A1E4S394		kla|Q6CVT5	lth|C5DL80	zro|C5DUF1	sce|P38264	vpo|A7TL44
FOG08725	HOG04512																														kla|Q6CPU0	lth|C5DJF5	zro|C5DY42	sce|Q06349	
FOG08726	HOG04513					ncr|A7UWY2																													
FOG08727	HOG04514																															lth|lth_AYbRAH_00690		sce|P39983	
FOG08728	HOG04515							ang|A2QC11																											
FOG08729	HOG04516																									pic|A3LTD0	spa|G3AUC6								
FOG08730	HOG04517					ncr|P0C582	tre|G0RIQ6	ang|A2QVT1																											
FOG08731	HOG04518							ang|A2QID9																											
FOG08732	HOG04519							ang|A2RBJ3																											
FOG08733	HOG04520					ncr|Q7RYD8	tre|G0RTP0																												
FOG08734	HOG04521					ncr|Q7SE50																													
FOG08735	HOG04522							ang|A2QMY0																											
FOG08736	HOG04523							ang|A2QPF7	lst|A0A1E3QC31																										
FOG08737	HOG04524		rgm|A0A194S8D2	sai|UPI000867F5A9	spo|Q9USQ1	ncr|Q7SA49	tre|G0RLF2	ang|A2QMM8	lst|A0A1E3QDW3	yli|Q6C7Z4	arx|A0A060TFE8	nfu|A0A1E3PNV8	aru|A0A1D2VIM4	pta|A0A1E4TTY6	ppa|C4R565	kcp|W6MVG1	car|A0A1E4SXD4	opm|W1QFB6	dbx|Dekbr2_22593	pme|A0A1E3NRD4	pku|A0A099P5E1	bin|A0A1E3QRS8	mbi|A0A1A0HIX9	mgu|A5DR08	dha|B5RTZ8	pic|A3LXN3	spa|G3AIT9	wan|A0A1E3NVZ0	cut|A0A1E4S809	hva|A0A1B7TJI6	kla|Q6CV97	lth|C5DGJ7	zro|C5DZE8	sce|P49956	vpo|A7TRM5
FOG08738	HOG04525							ang|A2Q7K2																											
FOG08739	HOG04526					ncr|Q7SC27																													
FOG08740	HOG04527		rgm|A0A0P9EEL4;rgm|A0A194SE73	sai|UPI000866F5E1		ncr|Q7SBP4	tre|G0RD82	ang|A2QXA1	lst|A0A1E3PYH0;lst|A0A1E3PYJ0																										
FOG08741	HOG04528					ncr|Q7S148;ncr|Q7S149																													
FOG08742	HOG04529							ang|A2R0Z6																											
FOG08743	HOG04530							ang|A2QU92;ang|A2R8C1								kcp|W6MPR7								mgu|A5DNJ2											
FOG08744	HOG04531		rgm|A0A194S2Q3	sai|UPI000618F126	spo|O13794	ncr|Q8WZS6	tre|G0RA89	ang|A2QA44	lst|A0A1E3QES6	yli|Q6C2Z7	arx|A0A060T2H7	nfu|A0A1E3PCZ1	aru|A0A1D2VFQ0	pta|A0A1E4TRR5	ppa|C4QVU5	kcp|W6MF23	car|A0A1E4STZ4	opm|W1QIX3	dbx|Dekbr2_39877	pme|A0A1E3NG86	pku|A0A099P9N8	bin|A0A1E3QNR8	mbi|A0A1A0GZ85	mgu|A5DG74	dha|Q6BMW3	pic|A3LW19	spa|G3AL42	wan|A0A1E3P6C0;wan|A0A1E3P876	cut|A0A1E4RXS7	hva|A0A1B7T8H9	kla|Q6CUI5	lth|C5DN96	zro|C5DWF4	sce|Q06224	vpo|A7TPD0
FOG08745	HOG04532					ncr|Q7RWG3																													
FOG08746	HOG04533		rgm|A0A194S992	sai|UPI000867ED3A	spo|Q9P7Q4	ncr|Q1K5G2	tre|G0RJG9	ang|A2QDV7	lst|A0A1E3Q6F0	yli|Q6C470	arx|A0A060T7S1	nfu|A0A1E3PGA8	aru|A0A1D2VKR9	pta|A0A1E4TYZ4	ppa|C4R495	kcp|W6MFK9	car|A0A1E4T0L3	opm|W1QDK3	dbx|Dekbr2_4221	pme|A0A1E3NGC8	pku|A0A099NXH5	bin|A0A1E3QV30	mbi|A0A1A0HCC7	mgu|A5DHM7	dha|B5RUP7	pic|A3GI18	spa|G3ANM8	wan|A0A1E3P479	cut|A0A1E4S0Q5	hva|A0A1B7T9D9	kla|Q6CT89	lth|C5DIP8	zro|C5E0H5	sce|P18759	vpo|A7TM17
FOG08747	HOG04534		rgm|A0A194S8K3	sai|UPI000867BDB9	spo|O13705	ncr|Q7SD81	tre|G0RMG5	ang|A2QHH6	lst|A0A1E3PZB3	yli|Q6CDC8	arx|A0A060SX29	nfu|A0A1E3PSR1	aru|A0A1D2VDG7	pta|A0A1E4U1K9	ppa|C4QY54	kcp|W6MGG0	car|A0A1E4T701	opm|W1QET0	dbx|Dekbr2_41645	pme|A0A1E3NKE7	pku|A0A099P1J9	bin|A0A1E3QQW4	mbi|A0A1A0HCM0	mgu|A5DMH4	dha|Q6BHS9	pic|A3LZL6	spa|G3AEX0	wan|A0A1E3NWK0	cut|A0A1E4RWC2		kla|Q6CQC0	lth|C5DKZ7	zro|C5DSY6	sce|Q06245	vpo|A7TLH9
FOG08748	HOG04535																						mbi|A0A1A0HK48	mgu|A5DEC8		pic|A3GGC3	spa|G3AT29								
FOG08749	HOG04536						tre|G0RKE8																												
FOG08750	HOG04537		rgm|A0A194S5X2;rgm|A0A194SCS8	sai|UPI000867D713	spo|Q9P7I1	ncr|Q7S6F5	tre|G0RIJ4	ang|A5AC01	lst|A0A1E3Q5P2		arx|A0A060TCW3		aru|A0A1D2VEU7		ppa|C4QX91	kcp|W6MSX4	car|A0A1E4T6F3	opm|W1Q7R3	dbx|Dekbr2_32217	pme|A0A1E3NI59	pku|A0A099P7R0	bin|A0A1E3QRG6	mbi|A0A1A0H8F4	mgu|A5DAY4	dha|Q6BJU7	pic|A3LRD7		wan|A0A1E3NU55	cut|A0A1E4S7B8		kla|Q6CRU8	lth|C5DMQ8	zro|C5E0S7	sce|P40309	vpo|A7TQJ4
FOG08751	HOG04538							ang|A2QSX1																											
FOG08752	HOG04539					ncr|Q7SAA2																													
FOG08753	HOG04540							ang|A2QTF2																											
FOG08754	HOG04541																																	sce|Q8TGT7	
FOG08755	HOG04542																																		vpo|A7TSU4
FOG08756	HOG04543					ncr|Q7S5Z6																													
FOG08757	HOG04544		rgm|A0A194S678	sai|UPI0008680414	spo|P08463	ncr|Q7SEY5	tre|G0RTH9	ang|A2R933	lst|A0A1E3Q4Z6	yli|Q6C172	arx|A0A060TCJ3	nfu|A0A1E3PIZ4	aru|A0A1D2VRB4	pta|A0A1E4TTZ8	ppa|C4R285	kcp|W6MKL5	car|A0A1E4T760	opm|W1Q7W3	dbx|Dekbr2_25580	pme|A0A1E3NQX8	pku|A0A099P2A8	bin|A0A1E3QRQ5	mbi|A0A1A0HBU9	mgu|A5DHR2	dha|Q6BND9	pic|A3LVH5	spa|G3APK9	wan|A0A1E3P1J8		hva|A0A1B7TAW1	kla|Q6CT33	lth|C5DL98	zro|C5DUJ5	sce|P20486	vpo|A7TKC1
FOG08758	HOG04545					ncr|Q7SBV2	tre|G0REU6																												
FOG08759	HOG04546						tre|G0R7R8;tre|G0RUP6																												
FOG08760	HOG04547					ncr|Q1K5M7																													
FOG08761	HOG04548					ncr|Q7RUK0																													
FOG08762	HOG04549			sai|UPI0008682BC5				ang|A2QLB3																											
FOG08763	HOG04550						tre|G0RLB6																												
FOG08764	HOG04551					ncr|U9W4G5;ncr|U9WGB7	tre|G0RFA8	ang|A2QNX7	lst|A0A1E3Q054																										
FOG08765	HOG04552							ang|A2QT26																											
FOG08766	HOG04553																														kla|Q6CUS5	lth|C5DK90	zro|C5DYW8	sce|P38852	vpo|A7TF60
FOG08767	HOG04554																																	sce|P32323	
FOG08768	HOG04555																								dha|Q6BNP8		spa|G3AUN0								
FOG08769	HOG04556					ncr|Q7S657																													
FOG08770	HOG04557					ncr|Q7S2F6																													
FOG08771	HOG04558				spo|O42852																														
FOG08772	HOG04559						tre|G0RHD0																												
FOG08773	HOG04560				spo|O13758																														
FOG08774	HOG04561					ncr|Q7S3J2																													
FOG08775	HOG04562						tre|G0RPF1																												
FOG08776	HOG04563						tre|G0RT29	ang|A2R5Q7;ang|A2R9Z8																											
FOG08777	HOG04564					ncr|Q7SGN9	tre|G0RMF9	ang|A2RAQ3																											
FOG08778	HOG04565					ncr|Q7RWA3																													
FOG08779	HOG04566																							mgu|A5DG42		pic|A3LZJ5	spa|G3ARX9								
FOG08780	HOG04567					ncr|Q1K8I1																													
FOG08781	HOG04568						tre|G0RJY7	ang|A2QEI1																											
FOG08782	HOG04569					ncr|Q7SGE7																													
FOG08783	HOG04570		rgm|A0A0P9H0V0	sai|UPI0008681255		ncr|Q7RWM3	tre|G0RQ27;tre|G0RRR5	ang|A5AAF3																											
FOG08784	HOG04571							ang|A2RAD5																											
FOG08785	HOG04572																																zro|C5DQI9	sce|Q06159	
FOG08786	HOG04573							ang|A2R8J3																											
FOG08787	HOG04574							ang|A2QW31																											
FOG08788	HOG04575														ppa|C4QVP0																				
FOG08789	HOG04576					ncr|Q1K7Q9	tre|G0RGL4	ang|A2QMX3																											
FOG08790	HOG04577						tre|G0R9G3																												
FOG08791	HOG04578				spo|Q9URY3																														
FOG08792	HOG04579		rgm|A0A194SAL4	sai|UPI000618E72C	spo|P87140	ncr|Q7SFN9	tre|G0RGC9	ang|E2PSS0	lst|A0A1E3QB23	yli|Q6C314	arx|A0A060T9K5	nfu|A0A1E3PFD5	aru|A0A1D2VQD8	pta|A0A1E4TWX0;pta|A0A1E4TWZ1	ppa|C4R778	kcp|W6MM74	car|A0A1E4T1R9	opm|W1QGX3	dbx|Dekbr2_26616	pme|A0A1E3NSH3	pku|A0A099NX05	bin|A0A1E3QK15	mbi|A0A1A0H7S7	mgu|A5DAD2	dha|Q6BZ81	pic|A3GG22	spa|G3AFS3	wan|A0A1E3NYJ1	cut|A0A1E4S791	hva|A0A1B7T8L7	kla|Q6CNE1	lth|C5DBD6	zro|C5DRB0	sce|P32074	vpo|A7TMQ5
FOG08793	HOG04580																																	sce|Q8TGP7	
FOG08794	HOG04581																								dha|Q6BTI1										
FOG08795	HOG04582																																	sce|Q12336	
FOG08796	HOG04583					ncr|A7UW55																													
FOG08797	HOG04584																															lth|lth_AYbRAH_00112		sce|Q8TGT4	
FOG08798	HOG04585						tre|G0RLY0																												
FOG08799	HOG04586					ncr|A7UWD7																													
FOG08800	HOG04587						tre|G0RR54																												
FOG08801	HOG04588							ang|A2QCP7																											
FOG08802	HOG04589				spo|Q9USM2																														
FOG08803	HOG04590					ncr|V5INY7																													
FOG08804	HOG04591		rgm|A0A194S626	sai|UPI000866CF0A	spo|O14238	ncr|Q1K6C9	tre|G0RED7	ang|A2RAP8	lst|A0A1E3PYY8	yli|Q6C6K8		nfu|A0A1E3PNK2	aru|A0A1D2VE91	pta|A0A1E4U2M1;pta|A0A1E4U2M5	ppa|C4R236	kcp|W6MIW7	car|A0A1E4SZZ6	opm|W1QA81	dbx|Dekbr2_42776	pme|A0A1E3NHW7	pku|A0A099P7S0	bin|A0A1E3QWQ1	mbi|A0A1A0H9R3	mgu|A5DE22	dha|Q6BLZ9	pic|A3LU86	spa|G3AM49	wan|A0A1E3NUI3	cut|A0A1E4S8M3	hva|A0A1B7TDY8	kla|Q6CTE3	lth|C5DGX0	zro|C5DRL6	sce|P46964	vpo|A7TN94
FOG08805	HOG04592									yli|Q6C268																									
FOG08806	HOG04593							ang|A2QLS2																											
FOG08807	HOG04594					ncr|Q7S2J2																													
FOG08808	HOG04595																															lth|lth_AYbRAH_00323		sce|A0A023PXN9;sce|P40891	
FOG08809	HOG04596						tre|G0RVT0																												
FOG08810	HOG04597		rgm|A0A0P9EF06	sai|UPI0008672F81	spo|O74422	ncr|Q7RWG7	tre|G0RP81	ang|A2QJ35	lst|A0A1E3PUF9	yli|Q6CF98	arx|A0A060T2I0	nfu|A0A1E3PHX8	aru|A0A1D2VRI2	pta|A0A1E4TZE4	ppa|C4R3Q9	kcp|W6MQF1	car|A0A1E4T730		dbx|Dekbr2_66566		pku|A0A099NWL7;pku|A0A099NWQ7	bin|A0A1E3QW24	mbi|A0A1A0H642	mgu|A5DC78	dha|Q6BLN2	pic|A3LV46	spa|G3AU28	wan|A0A1E3NVD3	cut|A0A1E4RVK9		kla|Q6CUN2	lth|C5DEJ5	zro|C5DR85	sce|Q03390	vpo|A7TP01
FOG08811	HOG04598		rgm|A0A194S1X8	sai|UPI0008682595	spo|O74944	ncr|V5IKZ4	tre|G0RKC5	ang|A2QYP0	lst|A0A1E3Q4M1																										
FOG08812	HOG04599					ncr|Q7SAE2;ncr|Q7SAE3																													
FOG08813	HOG04600		rgm|A0A194S7I7		spo|O13767																														
FOG08814	HOG04601				spo|Q9UT17																														
FOG08815	HOG04602					ncr|Q7SGZ7		ang|A2R564																											
FOG08816	HOG04603					ncr|Q7RYL8	tre|G0R7Z9																												
FOG08817	HOG04604							ang|A2Q8N5																											
FOG08818	HOG04605							ang|A2QEW4																											
FOG08819	HOG04606						tre|G0RGR6																												
FOG08820	HOG04607		rgm|A0A0P9EJ13	sai|UPI00086713EF		ncr|Q1K6Z2	tre|G0RTB5	ang|A2QGZ4	lst|A0A1E3QCC7	yli|Q6CGA0	arx|A0A060TDV4	nfu|A0A1E3PMD3	aru|A0A1D2VDQ8;aru|A0A1D2VJH3	pta|A0A1E4TVL9	ppa|C4QX05	kcp|W6MQA9	car|A0A1E4T8K3	opm|W1QH93	dbx|Dekbr2_22405;dbx|Dekbr2_49958	pme|A0A1E3NJ79	pku|A0A099NY18	bin|A0A1E3QSD7	mbi|A0A1A0HEB8	mgu|A5DGK8	dha|Q6BHI7	pic|A3GGM3	spa|G3AGU7	wan|A0A1E3P7H3	cut|A0A1E4RYD0		kla|Q6CNV2	lth|C5DCC0	zro|C5E0D8		vpo|A7TK35
FOG08821	HOG04608					ncr|Q7SHM1																													
FOG08822	HOG04609					ncr|P0CY43																			dha|A9RAG7									sce|Q9ZZW7	
FOG08823	HOG04610		rgm|A0A194S1Q0	sai|UPI00086695E7	spo|O13615	ncr|Q1K953	tre|G0RDD5	ang|A2QQK1	lst|A0A1E3Q535	yli|Q6C709	arx|A0A060TCD3	nfu|A0A1E3PD03	aru|A0A1D2VG70	pta|A0A1E4TUP4	ppa|C4R6T4	kcp|W6MPM5	car|A0A1E4SUQ3	opm|W1QBE1	dbx|Dekbr2_43296	pme|A0A1E3NFK1	pku|A0A099P9V0	bin|A0A1E3QJV2	mbi|A0A1A0HA43	mgu|A5DJW4	dha|Q6BU94	pic|A3LNI4	spa|G3AR45	wan|A0A1E3P482	cut|A0A1E4RZQ7	hva|A0A1B7TH15	kla|Q6CKE8	lth|C5DF00	zro|C5DXR8	sce|Q12417	vpo|A7TKN5
FOG08824	HOG04611						tre|G0RQ52;tre|G0RVC2																												
FOG08825	HOG04612					ncr|Q7S738																													
FOG08826	HOG04613					ncr|F5HCG5	tre|G0RR24																												
FOG08827	HOG04614					ncr|Q7SAY0																													
FOG08828	HOG04615					ncr|Q1K747	tre|G0R7H0	ang|A2QEH9																											
FOG08829	HOG04616					ncr|U9W3B7																													
FOG08830	HOG04617			sai|UPI0008681F39		ncr|Q7SCR8	tre|G0RLZ1	ang|A2R166	lst|A0A1E3PZ93	yli|Q6C164	arx|A0A060TCL2																								
FOG08831	HOG04618		rgm|A0A0P9EF83	sai|UPI0008668B86	spo|O74552	ncr|Q7SAE6	tre|G0R8M4	ang|A2R7P6	lst|A0A1E3QEN2	yli|Q6C5K0	arx|A0A060T9H1	nfu|A0A1E3PTI6	aru|A0A1D2V8W3	pta|A0A1E4TWM0	ppa|C4QYN3	kcp|W6MIP6	car|A0A1E4SWL4	opm|W1QDS7	dbx|Dekbr2_4840	pme|A0A1E3NEC8	pku|A0A099P1X5	bin|A0A1E3QH22	mbi|A0A1A0HFP0	mgu|A5DCK7	dha|B5RTC3	pic|A3LT23	spa|G3AM00	wan|A0A1E3P6D7	cut|A0A1E4RY89	hva|A0A1B7TAI3	kla|Q6CW25	lth|C5DKJ2	zro|C5E155	sce|P34110	vpo|A7TFJ4;vpo|A7TGQ4
FOG08832	HOG04619					ncr|Q7RUQ4	tre|G0RS81																												
FOG08833	HOG04620					ncr|Q7S4Y5																													
FOG08834	HOG04621						tre|G0RSU5	ang|A2QSW5;ang|A2QXC0;ang|A2QZM4;ang|A2RAD4																											
FOG08835	HOG04622							ang|A2QV51																											
FOG08836	HOG04623																															lth|lth_AYbRAH_00929		sce|O13582	
FOG08837	HOG04624																															lth|lth_AYbRAH_00528		sce|Q08321	
FOG08838	HOG04625																															lth|lth_AYbRAH_00305		sce|Q8TGL4	
FOG08839	HOG04626						tre|G0RFE8																												
FOG08840	HOG04627																																	sce|Q8TGS4	
FOG08841	HOG04628					ncr|V5IPU6																													
FOG08842	HOG04629				spo|O74342																														
FOG08843	HOG04630						tre|G0RCC5																												
FOG08844	HOG04631					ncr|V5ILD7																													
FOG08845	HOG04632																															lth|lth_AYbRAH_00993		sce|P38309	
FOG08846	HOG04633							ang|A2QIW9																											
FOG08847	HOG04634																														kla|Q6CS55	lth|C5DED7	zro|C5DR46	sce|Q00723	vpo|A7TN57
FOG08848	HOG04635				spo|Q9C1W6																														
FOG08849	HOG04636							ang|A2R7D5																											
FOG08850	HOG04637		rgm|A0A194S1C9	sai|UPI000867CE4B		ncr|F5HDV7	tre|G0RSH6	ang|A2QVH3																	dha|Q6BZM4										
FOG08851	HOG04638							ang|A5ABY5																											
FOG08852	HOG04639																															lth|lth_AYbRAH_00229		sce|Q07978	
FOG08853	HOG04640						tre|G0RT73																												
FOG08854	HOG04641																															lth|lth_AYbRAH_00593		sce|P38727	
FOG08855	HOG04642					ncr|Q7SH18																													
FOG08856	HOG04643							ang|A2QSZ6																											
FOG08857	HOG04644		rgm|A0A0P9IVN4	sai|UPI00086806C9	spo|Q9UT73	ncr|Q7RYI5	tre|G0RDG8	ang|A2R965	lst|A0A1E3QD31	yli|Q6CHV2	arx|A0A060TD15	nfu|A0A1E3PR83		pta|A0A1E4TS72														wan|A0A1E3P7J3	cut|A0A1E4S269						
FOG08858	HOG04645						tre|G0RE68																												
FOG08859	HOG04646			sai|UPI00086694D9	spo|O60168	ncr|A7UW54	tre|G0RE49	ang|A2Q8K8	lst|A0A1E3PYE0	yli|Q6C427	arx|A0A060T1U5	nfu|A0A1E3PLL8	aru|A0A1D2VB36	pta|A0A1E4U2Z2	ppa|C4QW04	kcp|W6MR25	car|A0A1E4SYX6	opm|W1QIF3	dbx|Dekbr2_64858	pme|A0A1E3NL32	pku|A0A099P750	bin|A0A1E3QI29;bin|A0A1E3QL43	mbi|A0A1A0H4X1	mgu|A5DNZ8	dha|Q6BSY9	pic|A3GI61	spa|G3ANX9	wan|A0A1E3P3U7	cut|A0A1E4RZC9	hva|A0A1B7TFA7	kla|Q6CMM1	lth|C5E2G4	zro|C5DZY8	sce|P53153	vpo|A7TE94
FOG08860	HOG04647					ncr|V5IQK5	tre|G0RAJ7	ang|E2PSS2		yli|Q6C9N3	arx|A0A060T774	nfu|A0A1E3PKQ7		pta|A0A1E4TQ75	ppa|C4QZ26	kcp|W6MXJ5	car|A0A1E4SW85	opm|W1QCF4	dbx|Dekbr2_33905	pme|A0A1E3ND80	pku|A0A099NZW3		mbi|A0A1A0HD58	mgu|A5DJD7	dha|Q6BPQ6	pic|A3LZA1	spa|G3ANQ3	wan|A0A1E3P9P0	cut|A0A1E4S7K8	hva|A0A1B7TJ99	kla|Q6CV98	lth|C5DGJ8	zro|C5DQK6	sce|P38749	vpo|A7TG97
FOG08861	HOG04648					ncr|Q7SAM5																													
FOG08862	HOG04649																															lth|lth_AYbRAH_00346		sce|P47132	
FOG08863	HOG04650		rgm|A0A0P9GGQ9	sai|UPI00086710FD	spo|O60067	ncr|Q7S6C7	tre|G0RU33	ang|A2QVY3	lst|A0A1E3Q0D5	yli|Q6CG72	arx|A0A060T4K1	nfu|A0A1E3PQT3	aru|A0A1D2VPS1	pta|A0A1E4TTC9	ppa|C4R7Y0	kcp|W6MUE0	car|A0A1E4T8B0	opm|W1Q9W7	dbx|Dekbr2_24692	pme|A0A1E3NNY9	pku|A0A099NZE0	bin|A0A1E3QWR3	mbi|A0A1A0HC97	mgu|A5DKK3	dha|Q6BL97	pic|A3LUY6	spa|G3ATW5	wan|A0A1E3P5K6	cut|A0A1E4RY44		kla|Q6CK87	lth|C5E2U6	zro|C5DZT0	sce|P40085	vpo|A7TLS6
FOG08864	HOG04651		rgm|A0A194S6W1	sai|UPI000618DCDA	spo|O74777	ncr|Q7S995	tre|G0RG86	ang|A2QCF1	lst|A0A1E3QB33	yli|Q6BZW4	arx|A0A060SZT9	nfu|A0A1E3PJ25	aru|A0A1D2VRM6	pta|A0A1E4U1V3	ppa|C4QWT5	kcp|W6MP80	car|A0A1E4SX42	opm|W1QHB4	dbx|Dekbr2_6180	pme|A0A1E3NRM9	pku|A0A099NZK6	bin|A0A1E3QS29	mbi|A0A1A0H4V0	mgu|A5DJ53	dha|Q6BPF0	pic|A3LNJ9	spa|G3AFZ2	wan|A0A1E3P7T0	cut|A0A1E4S6H6	hva|A0A1B7TCK0	kla|Q6CV23	lth|C5DJZ2	zro|C5DZ61	sce|P25586	vpo|A7TFC5
FOG08865	HOG04652				spo|Q9UTG5																														
FOG08866	HOG04653					ncr|Q7S283	tre|G0RTT4	ang|A2QZ17							ppa|C4QXZ8																				
FOG08867	HOG04654					ncr|U9W3N9																													
FOG08868	HOG04655					ncr|Q7S941																													
FOG08869	HOG04656							ang|A2QU99																											
FOG08870	HOG04657					ncr|Q7SFC9	tre|G0RN58	ang|A2QY57		yli|Q6CAY8	arx|A0A060SZY5	nfu|A0A1E3PT28																							
